year,month,day,precip,tmax,tmin,wind,Date
1949,1,1,3.83,4.76,-3.23,11.41,1-1-1949
1949,1,2,0,-0.13,-3.71,13.04,2-1-1949
1949,1,3,0,0.15,-6.74,9.42,3-1-1949
1949,1,4,0.4,2.95,-4.17,6.24,4-1-1949
1949,1,5,29.48,2.96,-1.83,4.56,5-1-1949
1949,1,6,17.48,10.14,-1.4,8.88,6-1-1949
1949,1,7,0.75,6.14,-1.73,10.6,7-1-1949
1949,1,8,0,9.01,-2.58,6.22,8-1-1949
1949,1,9,0,5.51,-3.23,3.78,9-1-1949
1949,1,10,0,6.19,0.03,4.72,10-1-1949
1949,1,11,0,3.87,-3.95,8.83,11-1-1949
1949,1,12,0,-2.09,-10.06,1.47,12-1-1949
1949,1,13,0,1.31,-5.97,8.55,13-1-1949
1949,1,14,0,3.12,-8.19,9.11,14-1-1949
1949,1,15,0,0.49,-11.91,8.39,15-1-1949
1949,1,16,0,6.76,-5.8,4.41,16-1-1949
1949,1,17,0,9.36,-1.24,5.08,17-1-1949
1949,1,18,2.4,3.81,-3.09,6.4,18-1-1949
1949,1,19,1.9,6.48,-0.89,7.77,19-1-1949
1949,1,20,0,4.13,-4.86,10.09,20-1-1949
1949,1,21,16.2,-0.35,-10.09,9.27,21-1-1949
1949,1,22,7.28,2.51,-7.82,3.08,22-1-1949
1949,1,23,1.88,2.39,-9.24,5.2,23-1-1949
1949,1,24,1.9,2.74,-4.38,5.6,24-1-1949
1949,1,25,0,3.57,-5.92,6.52,25-1-1949
1949,1,26,11.6,-3.45,-9.97,6.21,26-1-1949
1949,1,27,7.53,-1.47,-9.14,5.1,27-1-1949
1949,1,28,4.7,0.68,-5.5,6.71,28-1-1949
1949,1,29,0.65,0.86,-9.49,10.71,29-1-1949
1949,1,30,0,-2.61,-15.19,8.66,30-1-1949
1949,1,31,20.42,-2.64,-14.44,6.58,31-1-1949
1949,2,1,3.38,-0.08,-7.9,11.2,1-2-1949
1949,2,2,0,-2.18,-11.19,12.44,2-2-1949
1949,2,3,0,-1.88,-17.9,5.6,3-2-1949
1949,2,4,5.97,-2.15,-10.83,3.12,4-2-1949
1949,2,5,1.45,-1.49,-13.36,8.72,5-2-1949
1949,2,6,0.12,-1.39,-20.54,5.78,6-2-1949
1949,2,7,3.45,2.77,-15.06,3.25,7-2-1949
1949,2,8,0.93,5.83,-11.79,5.35,8-2-1949
