date,dOY,year,site,temperature,airTemp,rain
6/4/2010,155,2010,bp1,24.16027778,21.7991304,NA
6/5/2010,156,2010,bp1,24.62293981,23.43698857,NA
6/6/2010,157,2010,bp1,23.19550926,20.21816623,NA
6/7/2010,158,2010,bp1,21.12675926,15.39520001,NA
6/8/2010,159,2010,bp1,20.50793981,13.99157578,NA
6/9/2010,160,2010,bp1,17.95907407,11.18187269,NA
6/10/2010,161,2010,bp1,19.70826389,16.21177662,NA
6/11/2010,162,2010,bp1,19.76844907,15.56897299,NA
6/12/2010,163,2010,bp1,20.65108796,19.42148592,NA
6/13/2010,164,2010,bp1,21.55675926,21.03987172,NA
6/14/2010,165,2010,bp1,21.55391204,19.59767631,NA
6/15/2010,166,2010,bp1,22.37944444,19.0680463,NA
6/16/2010,167,2010,bp1,20.8612037,17.72378935,NA
6/17/2010,168,2010,bp1,20.54685185,17.03074074,NA
6/18/2010,169,2010,bp1,21.43648148,18.12077218,NA
6/19/2010,170,2010,bp1,22.61777778,20.32341763,NA
6/20/2010,171,2010,bp1,24.70212963,23.22506925,NA
6/21/2010,172,2010,bp1,24.74787037,21.37877739,NA
6/22/2010,173,2010,bp1,22.83662037,19.40470409,NA
6/23/2010,174,2010,bp1,23.69724537,22.3125841,NA
6/24/2010,175,2010,bp1,24.12263889,23.20974846,NA
6/25/2010,176,2010,bp1,24.33895833,21.15029475,NA
6/26/2010,177,2010,bp1,23.88365741,20.66489911,NA
6/27/2010,178,2010,bp1,24.11282407,22.27205941,NA
6/28/2010,179,2010,bp1,23.84587963,23.8506848,NA
6/29/2010,180,2010,bp1,23.98071759,22.37349653,NA
6/30/2010,181,2010,bp1,22.59236111,16.95331755,NA
7/1/2010,182,2010,bp1,21.71337963,15.94139077,NA
7/2/2010,183,2010,bp1,21.55914352,16.55594502,NA
7/3/2010,184,2010,bp1,22.43944444,19.02526678,NA
7/4/2010,185,2010,bp1,23.52636574,22.20516233,NA
7/5/2010,186,2010,bp1,24.85606481,23.67574306,NA
7/6/2010,187,2010,bp1,25.92875,25.96713947,NA
7/7/2010,188,2010,bp1,26.29877315,26.79057031,NA
7/8/2010,189,2010,bp1,25.58131944,25.23537413,NA
7/9/2010,190,2010,bp1,25.53668981,24.53800383,NA
7/10/2010,191,2010,bp1,23.7212037,21.48321875,NA
7/11/2010,192,2010,bp1,24.66849537,21.89391753,NA
7/12/2010,193,2010,bp1,23.80150463,20.54638137,NA
7/13/2010,194,2010,bp1,23.05787037,20.89276997,NA
7/14/2010,195,2010,bp1,23.13944444,21.5654702,NA
7/15/2010,196,2010,bp1,23.67298611,22.74893229,NA
7/16/2010,197,2010,bp1,23.94081019,24.63081481,NA
7/17/2010,198,2010,bp1,23.17578704,24.09896181,NA
7/18/2010,199,2010,bp1,22.54953704,23.89807133,NA
7/19/2010,200,2010,bp1,21.50386574,21.98655845,NA
7/20/2010,201,2010,bp1,21.67368056,21.77302807,NA
7/21/2010,202,2010,bp1,21.86,23.35217419,NA
7/22/2010,203,2010,bp1,22.12282407,22.02825318,NA
7/23/2010,204,2010,bp1,21.30909722,21.01952199,NA
7/24/2010,205,2010,bp1,24.34011574,25.27102344,NA
7/25/2010,206,2010,bp1,23.26243056,22.72895573,NA
7/26/2010,207,2010,bp1,22.2869213,19.97341189,NA
7/27/2010,208,2010,bp1,22.55289352,20.15757624,NA
7/28/2010,209,2010,bp1,23.20023148,21.92269589,NA
7/29/2010,210,2010,bp1,23.45347222,22.72797627,NA
7/30/2010,211,2010,bp1,21.53877315,18.79200333,NA
7/31/2010,212,2010,bp1,20.74210648,18.37452677,NA
8/1/2010,213,2010,bp1,20.54101852,18.99746991,NA
8/2/2010,214,2010,bp1,23.55453704,21.17900391,NA
