Data_File	Data_File_Loc	Site	Latitude	Longitude	Nash	RMSE	Mu	Alpha	Theta	Beta	Drainage_Area_Km2	Mean_Elevation_m	Mean_Slope_P	Mean_Aspect	BFI_P	P_Clay	P_Sand	P_Silt	Biomass_tons	Stem_Count	UrbanKm2	AgroKm2	SwampsKm2	GrassKm2	PeatlandKm2	RockKm2	DeciduousKm2	OakPineKm2	BorealKm2	OpenWaterKm2	aug_mean_air_degC	aug_max_air_degC	aug_mean_precip_mm	feb_mean_air_degC	feb_max_air_degC	feb_mean_precip_mm
MAFW_1yr	1	Laur55	42.04584	-71.6849	0.947	1.621	1.95E-06	20.7996	0.8015662	11.145197	5.4207	160.335	5.026023	75.84063	52.9927	4.992	55.70786	39.30014	96970.76	32716	0.6769383	0.09603653	0.5698338	0	0	0.003405551	0	4.0758481	0	0.004086661	20.91125	26.3425	98.72	-1.915	3.2325	89.2125
MAFW_1yr	2	Sprg55	42.08603	-71.5375	0.935	1.736	2.92E-06	20.07792	0.7822122	10.82712	5.6241	117.4839	5.488188	88.23998	54.72666	5.34612	54.20983	40.44405	85495.6	27498	0.4846099	0.51202454	0.669361	0	0	0	0.00136222	3.9641461	0	0	21.121	26.992	99.658	-1.702	3.758	89.76
MAFW_1yr	3	Emer55	42.04559	-71.61902	0.934	1.928	9.35E-06	24.14061	0.8075919	11.508746	20.0853	138.6439	6.386982	90.31676	53.15981	4.619685	58.01827	37.36205	93158.81	110704	2.1809998	0.87880234	1.6947723	0	0	0.049295345	0.1625299	14.9358085	0	0.204758731	21.03737	26.64105	98.50684	-1.803947	3.4884211	89.06316
MAFW_1yr	4	Cent55	42.16559	-71.60269	0.914	2.247	4.47E-05	24.49439	0.8090218	11.593897	13.0401	120.3569	7.592299	258.6715	54.15398	4.943415	55.40618	39.6504	79496.5	67556	2.1791267	0.24179409	0.9544056	0	0	0	6.35875897	3.1343836	0	0.185857925	21.10536	27.02571	96.94571	-2.036429	3.5407143	89.50071
MAFW_1yr	5	Mudd55	42.11679	-71.55397	0.941	1.643	4.56E-06	20.72601	0.7664274	11.264536	10.0089	107.9074	6.147143	108.8598	54.6255	4.943473	56.00899	39.04754	78381.84	45821	1.6693158	1.88165185	0.5955457	0	0	0	0.28564056	5.5540274	0	0.034225784	21.168	27.146	98.878	-1.716	3.812	89.721
MAFW_1yr	6	Laur60	42.03318	-71.66617	0.929	1.864	3.21E-06	21.7632	0.776329	11.062512	5.4207	160.335	5.026023	75.84063	52.9927	4.992	55.70786	39.30014	96970.76	32716	0.6769383	0.09603653	0.5698338	0	0	0.003405551	0	4.0758481	0	0.004086661	20.91125	26.3425	98.72	-1.915	3.2325	89.2125
MAFW_1yr	7	Sprg60	42.08831	-71.531	0.929	1.686	1.35E-05	17.65207	0.7760281	9.142632	5.6241	117.4839	5.488188	88.23998	54.72666	5.34612	54.20983	40.44405	85495.6	27498	0.4846099	0.51202454	0.669361	0	0	0	0.00136222	3.9641461	0	0	21.121	26.992	99.658	-1.702	3.758	89.76
MAFW_1yr	8	Mudd60	42.10904	-71.54719	0.932	1.673	1.61E-05	20.94561	0.7249153	11.406791	10.0089	107.9074	6.147143	108.8598	54.6255	4.943473	56.00899	39.04754	78381.84	45821	1.6693158	1.88165185	0.5955457	0	0	0	0.28564056	5.5540274	0	0.034225784	21.168	27.146	98.878	-1.716	3.812	89.721
MAFW_1yr	9	UCen55	42.16539	-71.60246	0.897	2.06	2.08E-04	20.67249	0.7060736	11.312107	13.0401	120.3569	7.592299	258.6715	54.15398	4.943415	55.40618	39.6504	79496.5	67556	2.1791267	0.24179409	0.9544056	0	0	0	6.35875897	3.1343836	0	0.185857925	21.10536	27.02571	96.94571	-2.036429	3.5407143	89.50071
MAFW_1yr	10	Emer65	42.04536	-71.62414	0.929	2.009	2.02E-04	24.65924	0.803354	11.599552	20.0853	138.6439	6.386982	90.31676	53.15981	4.619685	58.01827	37.36205	93158.81	110704	2.1809998	0.87880234	1.6947723	0	0	0.049295345	0.1625299	14.9358085	0	0.204758731	21.03737	26.64105	98.50684	-1.803947	3.4884211	89.06316
MAFW_1yr	11	Cent60	42.16481	-71.60302	0.914	2.168	4.10E-04	24.32052	0.7811995	11.795187	13.0401	120.3569	7.592299	258.6715	54.15398	4.943415	55.40618	39.6504	79496.5	67556	2.1791267	0.24179409	0.9544056	0	0	0	6.35875897	3.1343836	0	0.185857925	21.10536	27.02571	96.94571	-2.036429	3.5407143	89.50071
MAFW_1yr	12	Emer70	42.04605	-71.63104	0.931	2.031	2.62E-05	24.44124	0.8249474	11.410028	20.0853	138.6439	6.386982	90.31676	53.15981	4.619685	58.01827	37.36205	93158.81	110704	2.1809998	0.87880234	1.6947723	0	0	0.049295345	0.1625299	14.9358085	0	0.204758731	21.03737	26.64105	98.50684	-1.803947	3.4884211	89.06316
MAFW_1yr	13	Cent65	42.15856	-71.60737	0.927	1.955	3.63E-05	23.23481	0.7827074	11.612217	19.2411	116.0564	7.229161	250.01564	54.09894	4.878426	55.90379	39.21778	77033.86	94492	3.2975095	0.93175865	1.5468862	0	0	0.002469024	8.28859937	4.9790853	0	0.215911909	21.12947	27.06211	96.96789	-1.984211	3.5957895	89.40368
MAFW_1yr	14	Cent70	42.18933	-71.59485	0.933	2.057	3.56E-04	23.20303	0.8781389	11.930496	5.3433	122.4575	8.673616	196.36164	54.11706	4.577642	57.74959	37.67277	88839.89	30353	0.3831244	0.0579795	0.674895	0	0	0	3.44982277	0.7705058	0	0.013026231	21.10833	27.045	96.88	-2.085833	3.5216667	89.51
