Data_File_,site,latitude,longitude,featureID
1,Laur55,42.04584,-71.6849,6116302
2,Sprg55,42.08603,-71.5375,6116116
3,Emer55,42.04559,-71.61902,6116272
4,Cent55,42.16559,-71.60269,6116700
5,Mudd55,42.11679,-71.55397,6116104
6,Laur60,42.03318,-71.66617,6116302
7,Sprg60,42.08831,-71.531,6116116
8,Mudd60,42.10904,-71.54719,6116104
9,UCen55,42.16539,-71.60246,6116700
10,Emer65,42.04536,-71.62414,6116272
11,Cent60,42.16481,-71.60302,6116700
12,Emer70,42.04605,-71.63104,6116272
13,Cent65,42.15856,-71.60737,6115946
14,Cent70,42.18933,-71.59485,6115858
15,Scad60,42.04939,-71.66831,6116266
16,Scad65,42.05467,-71.67893,6116266
17,Mudd65,42.09173,-71.52194,6116108
18,Emer60,42.04581,-71.6412,6116264
19,Emer75,42.04608,-71.6134,6116268
20,Laur65,42.04025,-71.65357,6116282
1,MARoar55,42.23056,-72.85739,6096311
2,MAPark55,42.37944,-72.02992,7690145
3,MAWarr55,42.18912,-71.62604,6115866
4,MACold55,42.07216,-71.65574,6116222
5,MAMayn55,42.33106,-72.05052,7690249
9,MAHogH55,42.59251,-72.76092,10294922
10,MAMaxw55,42.65049,-72.86615,10294774
12,MAClak55,42.5956,-72.76126,10294894
13,MAAver55,42.62986,-72.8128,10294858
16,MAFife55,42.68811,-72.99947,10294664
18,MALyon55,42.55147,-72.45056,9343809
19,MAKeyu55,42.61712,-72.39482,9343457
21,MAColl55,42.68405,-72.25032,9343741
22,MAWhet55,42.58674,-72.35693,9343601
23,MAWeke55,42.46845,-71.73297,6078117
24,MACobb55,42.41744,-71.88944,6078243
25,MASWac55,42.42629,-71.90664,6078235
26,MAGibb55,42.20013,-72.92189,6096347
27,MARoar60,42.2553,-72.90691,6097265
29,MAKear55,42.43621,-72.92976,6096039
30,MABron55,42.41789,-72.91468,6096055
32,MATiff55,42.19678,-72.95314,6096379
33,MAStag55,42.18059,-72.88805,6096377
34,MATowe55,42.41275,-72.88241,6097191
35,MAPleas55,42.42871,-72.07622,7691383
36,MAWilB55,42.6278,-72.8388,10294816
3,1504,41.55954,-72.3284,7700852
5,2532,41.9199,-72.1256,6162431
7,5910,41.54088,-72.94848,6174446
13,235,41.26747,-73.44138,7731801
17,543,41.95544,-72.30131,6162383
18,236,41.13587,-73.42601,7732571
19,900,41.86676,-72.44244,7701432
23,1805,41.82139,-72.49931,7700738
28,319,41.29447,-73.39483,7731665
29,1,41.18643,-73.34293,7732261
32,245,41.19088,-73.42974,7732201
33,89,41.98408,-72.29473,6162359
37,241,41.24604,-73.43408,7733227
41,753,41.20261,-73.43111,7732111
44,2481,41.2771,-73.3275,7731815
45,489,41.96593,-72.32775,6162905
48,1089,41.42111,-72.90222,6177114
49,2757,42.02106,-72.25166,6159829
50,2295,41.66152,-72.53649,7700308
52,47,41.41313,-73.2823,7716980
58,1130,41.77167,-72.85639,6109255
60,956,41.86764,-72.43411,7700038
65,957,41.86657,-72.46483,7700730
66,357,41.81814,-73.14407,7712312
67,2266,41.7833,-72.92468,6109237
71,1804,41.86553,-72.44922,7700730
74,5976,41.78417,-72.92341,6109237
80,1513,41.8365,-72.92949,6109219
130,75,41.87266,-72.24156,6162579
151,6632,41.76174,-73.40527,7712504
152,6631,41.75812,-73.40109,7712504
156,6597,41.74591,-73.1275,7713560
157,6641,41.7497,-73.39844,7713572
158,6615,41.76555,-73.40939,7712478
159,6639,41.75307,-73.38905,7712520
161,6617,41.76366,-73.40743,7712478
162,6634,41.75529,-73.39882,7712504
163,6619,41.76264,-73.40683,7712478
164,6616,41.7645,-73.40838,7712478
165,6636,41.762,-73.40477,7712476
166,6602,41.74376,-73.13425,7713560
167,6592,41.74703,-73.13825,7713560
168,6623,41.75395,-73.39121,7712520
169,6591,41.74608,-73.13729,7713560
170,6656,41.7513,-73.12175,7713562
171,6638,41.76492,-73.40904,7712478
173,6614,41.76638,-73.41065,7712478
174,6610,41.74245,-73.13632,7713560
175,6593,41.74393,-73.1358,7713560
176,6611,41.74358,-73.13568,7713560
177,6647,41.75503,-73.39871,7712504
178,6646,41.74898,-73.39792,7713572
179,6644,41.75241,-73.3989,7713572
180,6609,41.74869,-73.13942,7713560
181,6670,41.7557,-73.12942,7713562
182,6666,41.7662,-73.14971,7713562
183,6595,41.74815,-73.13887,7713560
184,6645,41.75095,-73.39902,7713572
185,6640,41.75874,-73.40264,7712504
186,6598,41.74609,-73.12927,7713560
